9 Reentrant message: kDragIPCCompleted, current message: kDragIPCLeaveApplication
Unable to obtain a task name port right for pid 480: (os/kern) failure (0x5)
[ContinuousScroll] recalculateLayout: empty imageSizes
[ContinuousScroll] updateVisibleSlots: visibleRect=(-2.210268948655257, -78.4645476772752, 1281.955990220049, 1856.6259168705767), centerY=849.8484107580132, newIndex=0, lastNotified=-1
[ContinuousScroll] updateVisibleSlots: visibleRect=(-2.210268948655257, -78.4645476772752, 1281.955990220049, 1856.6259168705767), centerY=849.8484107580132, newIndex=0, lastNotified=0
[ContinuousScroll] configure: folder.images.count=321, containerWidth=580.0
[ContinuousScroll] preloaded 321 image sizes
[ContinuousScroll] updateVisibleSlots: visibleRect=(-1.1051344743276288, 1016.7237163812383, 1281.9559902200488, 1856.6259168701104), centerY=1945.0366748162935, newIndex=318, lastNotified=318
[ContinuousScroll] updateVisibleSlots: visibleRect=(-1.1051344743276288, 1017.8288508560768, 1281.9559902200488, 1856.6259168710435), centerY=1946.1418092915985, newIndex=318, lastNotified=318
[ContinuousScroll] updateVisibleSlots: visibleRect=(-1.1051344743276288, 1018.9339853298933, 1281.9559902200488, 1856.6259168701104), centerY=1947.2469437649484, newIndex=318, lastNotified=318
[ContinuousScroll] updateVisibleSlots: visibleRect=(-1.1051344743276288, 1020.0391198047328, 1281.9559902200488, 1856.6259168710435), centerY=1948.3520782402545, newIndex=318, lastNotified=318
[ContinuousScroll] updateVisibleSlots: visibleRect=(-1.1051344743276288, 1020.0391198047328, 1281.9559902200488, 1856.6259168710435), centerY=1948.3520782402545, newIndex=318, lastNotified=318
[ContinuousScroll] updateVisibleSlots: visibleRect=(-1.1051344743276288, 1021.1442542785481, 1281.9559902200488, 1856.6259168701104), centerY=1949.4572127136034, newIndex=318, lastNotified=318
[ContinuousScroll] updateVisibleSlots: visibleRect=(-1.1051344743276288, 1021.1442542785481, 1281.9559902200488, 1856.6259168701104), centerY=1949.4572127136034, newIndex=318, lastNotified=318
[ContinuousScroll] updateVisibleSlots: visibleRect=(-1.1051344743276288, 1022.2493887533889, 1281.9559902200488, 1856.6259168710435), centerY=1950.5623471889107, newIndex=318, lastNotified=318
[ContinuousScroll] updateVisibleSlots: visibleRect=(-1.1051344743276288, 1023.3545232277169, 1281.9559902200488, 1856.625916871043), centerY=1951.6674816632385, newIndex=318, lastNotified=318
[ContinuousScroll] updateVisibleSlots: visibleRect=(-1.1051344743276288, 1023.3545232272025, 1281.9559902200488, 1856.6259168701104), centerY=1951.6674816622576, newIndex=318, lastNotified=318
[ContinuousScroll] updateVisibleSlots: visibleRect=(-1.1051344743276288, 1023.3545232272025, 1281.9559902200488, 1856.6259168701104), centerY=1951.6674816622576, newIndex=318, lastNotified=318
[ContinuousScroll] updateVisibleSlots: visibleRect=(-1.1051344743276288, 1023.3545232272025, 1281.9559902200488, 1856.6259168701104), centerY=1951.6674816622576, newIndex=318, lastNotified=318
[ContinuousScroll] updateVisibleSlots: visibleRect=(-1.1051344743276288, 1023.3545232272021, 1281.9559902200488, 1856.6259168701104), centerY=1951.6674816622572, newIndex=318, lastNotified=318
[ContinuousScroll] updateVisibleSlots: visibleRect=(-1.1051344743276288, 1023.3545232272021, 1281.9559902200488, 1856.6259168701104), centerY=1951.6674816622572, newIndex=318, lastNotified=318
[ContinuousScroll] updateVisibleSlots: visibleRect=(-1.1051344743276288, 1024.4596577020438, 1281.9559902200488, 1856.6259168710435), centerY=1952.7726161375656, newIndex=318, lastNotified=318
[ContinuousScroll] updateVisibleSlots: visibleRect=(-1.1051344743276288, 1025.5647921763718, 1281.9559902200488, 1856.6259168710433), centerY=1953.8777506118936, newIndex=318, lastNotified=318
[ContinuousScroll] updateVisibleSlots: visibleRect=(-1.1051344743276288, 1025.5647921758564, 1281.9559902200488, 1856.6259168701104), centerY=1953.8777506109116, newIndex=318, lastNotified=318
